2969632;Île Verte;Ile Verte;;48.7;-3.91667;T;RK;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2969633;Île Verte;Ile Verte;;45.08072;-0.66845;T;ISLX;FR;;97;;;;0;;-1;Europe/Paris;2011-10-09
2969634;Île Verte;Ile Verte;;48.71667;-4.05;T;ISL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2969635;Île Verte;Ile Verte;;48.56667;-4.73333;T;ISL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2969636;Île Verte;Ile Verte;;47.76667;-3.8;T;ISL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2969637;Île Verte;Ile Verte;;43.16014;5.61757;T;ISL;FR;;B8;;;;0;;28;Europe/Paris;2011-09-11
2969648;Rocher Vert;Rocher Vert;;45.93944;-1.39144;H;RF;FR;;B7;;;;0;;-9999;Europe/Paris;2011-10-09
2969817;Vernet-les-Bains;Vernet-les-Bains;"Verne-le-Ben,Vernet,Vernet-les-Bains,vu~erune=re=ban,wei er nei lai ban,Верне-ле-Бен,ヴェルネ＝レ＝バン,韦尔内莱班";42.54834;2.38717;P;PPL;FR;;A9;66;663;66222;1493;;657;Europe/Paris;2012-01-18
2969820;Serre Vernet;Serre Vernet;;42.46489;2.46949;T;RDGE;FR;;A9;66;;;0;;2016;Europe/Paris;2011-10-09
2969833;Verne;Verne;"Ruisseau la Verne,Verne";50.4837;3.49787;H;STM;FR;BE;00;;;;0;;18;Europe/Paris;2014-03-07
2969901;Vergoyer;Vergoyer;"Le Vergoyer,Vergoyer";50.55;1.25;H;SHOL;FR;FR;B4;;;;0;;-9999;Europe/Paris;2012-01-18
2969933;Serre de Verges;Serre de Verges;;42.76945;2.52668;T;HLL;FR;;A9;66;662;66006;0;;545;Europe/Paris;2012-02-28
2969966;Verdouble;Verdouble;"Le Verdouble Riviere,Le Verdouble Rivière,Verdouble";42.77869;2.71914;H;STM;FR;;A9;66;;;0;;66;Europe/Paris;2012-01-18
2969969;Port du Verdon;Port du Verdon;;45.54726;-1.04092;L;PRT;FR;;97;;;;0;;2;Europe/Paris;2011-10-09
2970024;Les Roches de Ver;Les Roches de Ver;"Les Roches de Ver,Roches de Ver";49.35;-0.48333;T;RKS;FR;FR;99;;;;0;;-9999;Europe/Paris;2012-01-18
2970034;Ruisseau de Ventilegne;Ruisseau de Ventilegne;;41.44334;9.12354;H;STM;FR;;00;;;;0;;-9999;Europe/Paris;2011-08-08
2970035;Pointe de Ventilegne;Pointe de Ventilegne;;41.44212;9.08073;T;PT;FR;;00;;;;0;;-9999;Europe/Paris;2011-08-08
2970036;Golfe de Ventilegne;Golfe de Ventilegne;;41.43555;9.10885;H;GULF;FR;;00;;;;0;;-9999;Europe/Paris;2011-08-08
2970122;Rocher des Vendeurs;Rocher des Vendeurs;;46.38249;-1.53275;T;RK;FR;;B5;;;;0;;-9999;Europe/Paris;2011-10-09
2970159;Île Vénan;Ile Venan;"Enes Vennan,Ile Venan,Ile Vevan,Île Vénan,Île Vévan";48.63333;-4.55;T;ISL;FR;FR;A2;;;;0;;9;Europe/Paris;2012-01-18
2970175;Ruisseau de Velmanya;Ruisseau de Velmanya;"Riviere de Valmanya,Rivière de Valmanya,Ruisseau de Velmanya,Valmanya Ruisseau";42.55;2.55;H;STM;FR;FR;A9;66;;;0;;842;Europe/Paris;2012-01-18
2970245;Vée;Vee;"La Vee Riviere,La Vée Rivière";48.5137;-0.41898;H;STM;FR;FR;99;;;;0;;123;Europe/Paris;2007-02-09
2970259;Porto Vecchio;Porto Vecchio;;42.56667;8.71667;H;COVE;FR;;00;;;;0;;97;Europe/Paris;1994-01-06
2970373;Bois des Vaux;Bois des Vaux;;47.31163;0.27287;V;FRST;FR;;B2;;;;0;;111;Europe/Paris;1994-01-06
2970399;Vauvise;Vauvise;"La Vauvise Riviere,La Vauvise Rivière,Vauvise";47.3;2.95;H;STM;FR;FR;A3;;;;0;;241;Europe/Paris;2012-01-18
